POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
76 76 NEW FOREST JUNIOR HIGH SCHOOL,24,75,,,,1,100,43.67%,229,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
77 77 ALLIGATOR POND COMMUNITY CENTRE,44,67,,,,3,114,56.72%,201,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
78 78 ALLIGATOR POND COMMUNITY CENTRE,92,82,,,,5,179,60.68%,295,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
79 79 DOWNS COMMUNITY CENTRE,31,79,,,,0,110,51.16%,215,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
80 80 NEW FOREST JUNIOR HIGH SCHOOL,85,95,,,,4,184,49.46%,372,MANCHESTER SOUTHERN (43),ALLIGATOR POND (3),
81 81 PATRICK TOWN BASIC SCHOOL,28,60,,,,0,88,42.93%,205,MANCHESTER SOUTHERN (43),NEWPORT (4),
82 82 PATRICK TOWN BASIC SCHOOL,22,53,,,,2,77,41.85%,184,MANCHESTER SOUTHERN (43),NEWPORT (4),
83 83 OLD ENGLAND PRIMARY SCHOOL,65,140,,,,4,209,59.89%,349,MANCHESTER SOUTHERN (43),NEWPORT (4),
84 84 OLD ENGLAND PRIMARY SCHOOL,34,57,,,,3,94,49.47%,190,MANCHESTER SOUTHERN (43),NEWPORT (4),
85 85 BROKENHURST BASIC SCHOOL,28,96,,,,3,127,49.80%,255,MANCHESTER SOUTHERN (43),NEWPORT (4),
86 86 ELLEN STREET COMMUNITY CENTRE,30,93,,,,1,124,47.88%,259,MANCHESTER SOUTHERN (43),NEWPORT (4),
87 87 PATRICK TOWN ALL AGE SCHOOL,16,71,,,,2,89,48.63%,183,MANCHESTER SOUTHERN (43),NEWPORT (4),
88 88 CAMPBELLS CASTLE BASIC SCHOOL,14,83,,,,0,97,50.79%,191,MANCHESTER SOUTHERN (43),NEWPORT (4),
89 89 CAMPBELLS CASTLE BASIC SCHOOL,41,22,,,,0,63,47.01%,134,MANCHESTER SOUTHERN (43),NEWPORT (4),
90 90 FARM COMMUNITY CENTRE,45,97,,,,1,143,50.71%,282,MANCHESTER SOUTHERN (43),NEWPORT (4),
91 91 CAMPBELLS CASTLE ALL AGE SCHOOL,15,59,,,,0,74,47.13%,157,MANCHESTER SOUTHERN (43),NEWPORT (4),
92 92 SNOWDON PRIMARY SCHOOL,23,113,,,,0,136,55.74%,244,MANCHESTER SOUTHERN (43),NEWPORT (4),
93 93 SNOWDON BASIC SCHOOL,22,74,,,,0,96,45.28%,212,MANCHESTER SOUTHERN (43),NEWPORT (4),
94 94 SNOWDON PRIMARY SCHOOL,71,57,,,,1,129,51.81%,249,MANCHESTER SOUTHERN (43),NEWPORT (4),
95 95 SNOWDON PRIMARY SCHOOL,60,79,,,,2,141,49.82%,283,MANCHESTER SOUTHERN (43),NEWPORT (4),
96 96 BETHABRA INFANT SCHOOL,85,82,,,,2,169,47.61%,355,MANCHESTER SOUTHERN (43),NEWPORT (4),
97 97A NEWPORT TRAINING CENTRE,51,58,,,,0,109,50.46%,216,MANCHESTER SOUTHERN (43),NEWPORT (4),
97 97B NEWPORT TRAINING CENTRE,53,52,,,,0,105,48.61%,216,MANCHESTER SOUTHERN (43),NEWPORT (4),
98 98A SNOWDON PRIMARY SCHOOL,27,73,,,,2,102,47.66%,214,MANCHESTER SOUTHERN (43),NEWPORT (4),
98 98B SNOWDON PRIMARY SCHOOL,45,43,,,,2,90,42.06%,214,MANCHESTER SOUTHERN (43),NEWPORT (4),
99 99 SNOWDON PRIMARY SCHOOL,41,102,,,,0,143,43.73%,327,MANCHESTER SOUTHERN (43),NEWPORT (4),
100 100A ROSE HILL ALL AGE SCHOOL,48,61,,,,0,109,48.23%,226,MANCHESTER SOUTHERN (43),NEWPORT (4),
100 100B ROSE HILL ALL AGE SCHOOL,45,47,,,,0,92,40.53%,227,MANCHESTER SOUTHERN (43),NEWPORT (4),
101 101 ROSE HILL ALL AGE SCHOOL,66,42,,,,2,110,48.25%,228,MANCHESTER SOUTHERN (43),NEWPORT (4),
102 102 NEWPORT TRAINING CENTRE,84,64,,,,8,156,53.61%,291,MANCHESTER SOUTHERN (43),NEWPORT (4),
EPM 103 103 NEWPORT TRAINING CENTRE,109,90,,,,1,200,113.64%,176,MANCHESTER SOUTHERN (43),NEWPORT (4),
104 104A EBENEZER ALL AGE SCHOOL,26,85,,,,0,111,50.00%,222,MANCHESTER SOUTHERN (43),NEWPORT (4),
104 104B EBENEZER ALL AGE SCHOOL,21,75,,,,2,98,44.14%,222,MANCHESTER SOUTHERN (43),NEWPORT (4),
105 105 FERGUSON ALL AGE SCHOOL,63,48,,,,0,111,41.89%,265,MANCHESTER SOUTHERN (43),NEWPORT (4),
106 106 FERGUSON ALL AGE SCHOOL,84,56,,,,0,140,46.98%,298,MANCHESTER SOUTHERN (43),NEWPORT (4),
107 107 FERGUSON ALL AGE SCHOOL,60,169,,,,2,231,57.89%,399,MANCHESTER SOUTHERN (43),NEWPORT (4),
108 108 FERGUSON ALL AGE SCHOOL,147,75,,,,1,223,53.10%,420,MANCHESTER SOUTHERN (43),NEWPORT (4),
109 109 HUBERT ROACHE'S PREMISES,48,124,,,,2,174,50.88%,342,MANCHESTER SOUTHERN (43),NEWPORT (4),
110 110 ROSE HILL ALL AGE SCHOOL,90,35,,,,1,126,63.32%,199,MANCHESTER SOUTHERN (43),NEWPORT (4),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Bartlett St. Aubyn,PNP Bunting Peter Murcott,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 BETHABARA PRIM. JUN HIGH,60,55,,,,1,116,41.88%,277,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
2 2 BETHABARA PRIM. JUN HIGH,96,81,,,,5,182,44.72%,407,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
3 3 BETHABARA PRIM. JUN HIGH,113,79,,,,3,195,46.65%,418,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
4 4A ANNA MILLER BASIC SCH,85,31,,,,2,118,48.96%,241,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
4 4B ANNA MILLER BASIC SCH,100,26,,,,3,129,53.31%,242,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
5 5 CHURCH OF GOD OF PROPHECY,113,75,,,,6,194,53.74%,361,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
6 6 PEAR TREE COMMUNITY CENTRE,62,80,,,,5,147,44.14%,333,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
7 7 PEAR TREE COMMUNITY CENTRE,99,55,,,,8,162,53.82%,301,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
8 8 BROKEN HURST COMMUNITY CENTRE,43,121,,,,6,170,55.37%,307,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
9 9 PEAR TREE COMMUNITY CENTRE,102,65,,,,6,173,47.79%,362,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
10 10A OLD ENGLAND PRIMARY SCHOOL,46,82,,,,1,129,54.43%,237,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
10 10B OLD ENGLAND PRIMARY SCHOOL,32,110,,,,1,143,60.08%,238,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
11 11A RICHMOND PRIMARY SCHOOL,67,57,,,,2,126,50.60%,249,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
11 11B RICHMOND PRIMARY SCHOOL,75,64,,,,2,141,56.63%,249,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
12 12 OLD ENGLAND PRIMARY SCHOOL,15,23,,,,2,40,53.33%,75,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
13 13A BELRITRO BASIC SCHOOL,31,67,,,,0,98,45.37%,216,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
13 13B BELRITRO BASIC SCHOOL,24,94,,,,3,121,55.76%,217,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
14 14 GEORGES VALLEY BASIC SCHOOL,71,81,,,,0,152,53.90%,282,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
15 15 GEORGES VALLEY BASIC SCHOOL,74,59,,,,2,135,54.88%,246,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
16 16 MAY DAY HIGH SCHOOL,68,75,,,,2,145,38.26%,379,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
17 17 ALBION PRIMARY SCHOOL,54,110,,,,2,166,47.98%,346,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
18 18 MAY DAY HIGH SCHOOL,42,43,,,,3,88,39.11%,225,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
19 19 ALBION PRIMARY SCHOOL,98,31,,,,1,130,46.26%,281,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
20 20 ANNA MILLER BASIC SCH,68,59,,,,3,130,43.62%,298,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
21 21 ANNA MILLER BASIC SCH,64,53,,,,1,118,39.33%,300,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
22 22 WALTHAM BASIC SCHOOL,87,124,,,,4,215,52.31%,411,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
23 23 WALTHAM BASIC SCHOOL,70,66,,,,5,141,45.48%,310,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
24 24A CEDAR GROVE S.D.A.,37,58,,,,1,96,39.34%,244,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
24 24B CEDAR GROVE S.D.A.,45,48,,,,3,96,39.34%,244,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
25 25 BETHABARA PRIM. JUN HIGH,62,103,,,,3,168,46.15%,364,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
26 26 MAY DAY HIGH SCHOOL,78,61,,,,2,141,43.79%,322,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
27 27 ALBION PRIMARY SCHOOL,73,51,,,,4,128,42.24%,303,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
28 28 ALBION PRIMARY SCHOOL,91,81,,,,4,176,42.31%,416,MANCHESTER CENTRAL (44),KNOCKPATRICK (5),
29 29 WEST INDIES COLLEGE PREP,58,67,,,,1,126,33.42%,377,MANCHESTER CENTRAL (44),MANDEVILLE (6),
30 30A WEST INDIES COLLEGE PREP,44,33,,,,0,77,35.16%,219,MANCHESTER CENTRAL (44),MANDEVILLE (6),
30 30B WEST INDIES COLLEGE PREP,42,41,,,,1,84,38.36%,219,MANCHESTER CENTRAL (44),MANDEVILLE (6),
31 31 J.A.M.A.L'S PREMISES,97,88,,,,2,187,44.95%,416,MANCHESTER CENTRAL (44),MANDEVILLE (6),
32 32 J.A.M.A.L'S PREMISES,85,73,,,,1,159,38.22%,416,MANCHESTER CENTRAL (44),MANDEVILLE (6),
33 33 DUNROBIN BASIC SCHOOL,88,62,,,,3,153,43.84%,349,MANCHESTER CENTRAL (44),MANDEVILLE (6),
34 34 DUNROBIN BASIC SCHOOL,64,66,,,,2,132,38.04%,347,MANCHESTER CENTRAL (44),MANDEVILLE (6),
35 35 DUNROBIN BASIC SCHOOL,86,54,,,,1,141,38.32%,368,MANCHESTER CENTRAL (44),MANDEVILLE (6),
36 36 DUNROBIN BASIC SCHOOL,74,56,,,,1,131,47.12%,278,MANCHESTER CENTRAL (44),MANDEVILLE (6),
37 37 MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,81,88,,,,0,169,42.57%,397,MANCHESTER CENTRAL (44),MANDEVILLE (6),
EPM 38 38 MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,178,206,,,,2,386,252.29%,153,MANCHESTER CENTRAL (44),MANDEVILLE (6),
39 39 MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,63,56,,,,1,120,40.68%,295,MANCHESTER CENTRAL (44),MANDEVILLE (6),
40 40A MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,49,59,,,,2,110,49.77%,221,MANCHESTER CENTRAL (44),MANDEVILLE (6),
40 40B MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,37,74,,,,1,112,50.45%,222,MANCHESTER CENTRAL (44),MANDEVILLE (6),
41 41 VILLA ROAD PRIMARY & JUNIOR HIGH SCHOOL,78,84,,,,5,167,40.24%,415,MANCHESTER CENTRAL (44),MANDEVILLE (6),
42 42A VILLA ROAD PRIMARY & JUNIOR HIGH SCHOOL,53,28,,,,0,81,34.76%,233,MANCHESTER CENTRAL (44),MANDEVILLE (6),
42 42B VILLA ROAD PRIMARY & JUNIOR HIGH SCHOOL,36,30,,,,1,67,28.76%,233,MANCHESTER CENTRAL (44),MANDEVILLE (6),
43 43A DECARTERET COLLEGE,42,58,,,,2,102,45.95%,222,MANCHESTER CENTRAL (44),MANDEVILLE (6),
43 43B DECARTERET COLLEGE,52,36,,,,1,89,40.09%,222,MANCHESTER CENTRAL (44),MANDEVILLE (6),
44 44 DECARTERET COLLEGE,34,29,,,,0,63,24.71%,255,MANCHESTER CENTRAL (44),MANDEVILLE (6),
45 45 DECARTERET COLLEGE,46,48,,,,0,94,35.88%,262,MANCHESTER CENTRAL (44),MANDEVILLE (6),
46 46 DECARTERET COLLEGE,77,50,,,,2,129,38.28%,337,MANCHESTER CENTRAL (44),MANDEVILLE (6),
47 47 DECARTERET COLLEGE,37,118,,,,2,157,47.72%,329,MANCHESTER CENTRAL (44),MANDEVILLE (6),
48 48 DECARTERET COLLEGE,57,39,,,,1,97,45.33%,214,MANCHESTER CENTRAL (44),MANDEVILLE (6),
49 49 DECARTERET COLLEGE,92,72,,,,2,166,41.40%,401,MANCHESTER CENTRAL (44),MANDEVILLE (6),
50 50 VILLA ROAD PRIMARY & JUNIOR HIGH SCHOOL,55,23,,,,1,79,40.31%,196,MANCHESTER CENTRAL (44),MANDEVILLE (6),
51 51 BEAUMONT COMPREHENSIVE SCHOOL,66,56,,,,2,124,36.69%,338,MANCHESTER CENTRAL (44),MANDEVILLE (6),
52 52 VERNEL POWELL'S PREMISES,62,45,,,,1,108,38.57%,280,MANCHESTER CENTRAL (44),MANDEVILLE (6),
53 53 KENDAL ALL AGE SCHOOL,84,92,,,,0,176,48.62%,362,MANCHESTER CENTRAL (44),MANDEVILLE (6),
54 54A KENDAL ALL AGE SCHOOL,62,43,,,,1,106,47.32%,224,MANCHESTER CENTRAL (44),MANDEVILLE (6),
54 54B KENDAL ALL AGE SCHOOL,47,50,,,,1,98,43.75%,224,MANCHESTER CENTRAL (44),MANDEVILLE (6),
55 55A WEST INDIES COLLEGE PREP,24,105,,,,3,132,50.77%,260,MANCHESTER CENTRAL (44),MANDEVILLE (6),
55 55B WEST INDIES COLLEGE PREP,25,95,,,,1,121,46.54%,260,MANCHESTER CENTRAL (44),MANDEVILLE (6),
56 56 MANDEVILLE PRIMARY & JUNIOR HIGH SCHOOL,83,71,,,,0,154,38.99%,395,MANCHESTER CENTRAL (44),MANDEVILLE (6),
57 57 DECARTERET COLLEGE,43,84,,,,3,130,50.78%,256,MANCHESTER CENTRAL (44),MANDEVILLE (6),
58 58 DECARTERET COLLEGE,40,79,,,,0,119,45.77%,260,MANCHESTER CENTRAL (44),MANDEVILLE (6),
59 59 BROADLEAF ALL AGE SCHOOL,43,73,,,,1,117,46.99%,249,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
60 60 BROADLEAF ALL AGE SCHOOL,80,56,,,,1,137,57.32%,239,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
61 61 BROADLEAF ALL AGE SCHOOL,87,82,,,,0,169,51.52%,328,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
62 62 NEW HALL BASIC SCHOOL,128,51,,,,3,182,53.22%,342,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
63 63 RICHMOND PRIMARY SCHOOL,61,95,,,,2,158,45.66%,346,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
64 64 RICHMOND PRIMARY SCHOOL,80,56,,,,3,139,53.46%,260,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
65 65 CALEDONIA EDUCATIONAL CENTRE,44,57,,,,1,102,47.00%,217,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
66 66 CALEDONIA EDUCATIONAL CENTRE,94,52,,,,0,146,43.07%,339,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
67 67A KENDAL ALL AGE SCHOOL,47,83,,,,0,130,57.02%,228,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
67 67B KENDAL ALL AGE SCHOOL,41,84,,,,1,126,55.26%,228,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
68 68 BEAUMONT COMPREHENSIVE SCHOOL,95,100,,,,8,203,47.99%,423,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
69 69 CALEDONIA EDUCATIONAL CENTRE,87,61,,,,3,151,45.21%,334,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
70 70 MENNONITE CHURCH,54,30,,,,0,84,39.44%,213,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
71 71 MENNONITE CHURCH,111,82,,,,2,195,55.08%,354,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
72 72 ROYAL FLAT S.D.A. CHURCH SCHOOL,157,61,,,,1,219,53.81%,407,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
73 73 HEARTEASE COMMUNITY CENTRE,37,84,,,,4,125,56.05%,223,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
74 74 HEARTEASE COMMUNITY CENTRE,79,96,,,,8,183,59.22%,309,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
EPM 75 75 MANCHESTER INFIRMARY,74,127,,,,1,202,531.58%,38,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
76 76 ROYAL FLAT COMMUNITY CENTRE,111,91,,,,10,212,58.40%,363,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
77 77 ROYAL FLAT COMMUNITY CENTRE,60,106,,,,2,168,54.90%,306,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
78 78A DECARTERET COLLEGE,32,60,,,,0,92,40.35%,228,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
78 78B DECARTERET COLLEGE,34,59,,,,1,94,41.23%,228,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
79 79A NEW HALL BASIC SCHOOL,65,71,,,,2,138,55.87%,247,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
79 79B NEW HALL BASIC SCHOOL,56,67,,,,3,126,50.81%,248,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
80 80 COMFORT BASIC SCHOOL,75,80,,,,2,157,45.38%,346,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
81 81 BROADLEAF ALL AGE SCHOOL,115,86,,,,5,206,69.59%,296,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
82 82 BROADLEAF ALL AGE SCHOOL,76,75,,,,4,155,52.54%,295,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
83 83 COMFORT BASIC SCHOOL,113,52,,,,2,167,48.55%,344,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
84 84 COMFORT BASIC SCHOOL,78,58,,,,6,142,51.08%,278,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
85 85 MCINTOSH MEMORIAL PRIMARY SCHOOL,88,101,,,,1,190,47.15%,403,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
86 86 MCINTOSH MEMORIAL PRIMARY SCHOOL,120,77,,,,0,197,49.25%,400,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
87 87 MCINTOSH MEMORIAL PRIMARY SCHOOL,58,112,,,,1,171,44.76%,382,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
88 88 KENDAL ALL AGE SCHOOL,66,153,,,,4,223,53.48%,417,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
89 89 CONTENT COMMUNITY CENTRE,45,22,,,,1,68,40.96%,166,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
90 90 ROYAL FLAT S.D.A. CHURCH SCHOOL,87,59,,,,5,151,52.07%,290,MANCHESTER CENTRAL (44),ROYAL FLAT (7),
91 91 MCINTOSH MEMORIAL PRIMARY SCHOOL,82,51,,,,3,136,44.88%,303,MANCHESTER CENTRAL (44),BELLEFIELD (8),
92 92 CONTENT COMMUNITY CENTRE,49,90,,,,3,142,55.69%,255,MANCHESTER CENTRAL (44),BELLEFIELD (8),
93 93 DAVYTON BASIC SCHOOL,38,100,,,,6,144,46.15%,312,MANCHESTER CENTRAL (44),BELLEFIELD (8),
94 94 BELLEFIELD PRIMARY SCHOOL,28,72,,,,0,100,54.95%,182,MANCHESTER CENTRAL (44),BELLEFIELD (8),
95 95 DAVYTON BASIC SCHOOL,26,49,,,,2,77,50.99%,151,MANCHESTER CENTRAL (44),BELLEFIELD (8),
96 96 DAVYTON BASIC SCHOOL,90,40,,,,5,135,50.56%,267,MANCHESTER CENTRAL (44),BELLEFIELD (8),
97 97 DAVYTON BASIC SCHOOL,61,56,,,,6,123,58.29%,211,MANCHESTER CENTRAL (44),BELLEFIELD (8),
98 98 ZION HILL PRIMARY SCHOOL,61,98,,,,3,162,51.27%,316,MANCHESTER CENTRAL (44),BELLEFIELD (8),
99 99 ZION HILL PRIMARY SCHOOL,38,186,,,,7,231,57.46%,402,MANCHESTER CENTRAL (44),BELLEFIELD (8),
100 100A BELLEFIELD PRIMARY SCHOOL,24,86,,,,6,116,52.97%,219,MANCHESTER CENTRAL (44),BELLEFIELD (8),
100 100B BELLEFIELD PRIMARY SCHOOL,17,80,,,,7,104,47.27%,220,MANCHESTER CENTRAL (44),BELLEFIELD (8),
101 101 THE NEW TESTAMENT CHURCH OF GOD,33,154,,,,7,194,46.30%,419,MANCHESTER CENTRAL (44),BELLEFIELD (8),
102 102 ALPHEUS HARRISON'S PREMISES,11,81,,,,1,93,48.44%,192,MANCHESTER CENTRAL (44),BELLEFIELD (8),
103 103 BELLEFIELD COMPREHENSIVE HIGH SCHOOL,46,137,,,,2,185,46.48%,398,MANCHESTER CENTRAL (44),BELLEFIELD (8),
104 104 BELLEFIELD COMPREHENSIVE HIGH SCHOOL,41,61,,,,0,102,43.97%,232,MANCHESTER CENTRAL (44),BELLEFIELD (8),
105 105 HOPE VILLAGE BASIC SCHOOL,57,104,,,,0,161,50.16%,321,MANCHESTER CENTRAL (44),BELLEFIELD (8),
106 106 MELROSE BASIC SCHOOL,39,146,,,,4,189,48.21%,392,MANCHESTER CENTRAL (44),BELLEFIELD (8),
107 107A PORUS PRIMARY SCHOOL,25,74,,,,0,99,46.05%,215,MANCHESTER CENTRAL (44),BELLEFIELD (8),
107 107B PORUS PRIMARY SCHOOL,31,65,,,,7,103,47.69%,216,MANCHESTER CENTRAL (44),BELLEFIELD (8),
108 108 PORUS PRIMARY SCHOOL,81,127,,,,6,214,51.69%,414,MANCHESTER CENTRAL (44),BELLEFIELD (8),
109 109 TOP COFFEE GROVE BASIC SCHOOL,40,108,,,,3,151,48.24%,313,MANCHESTER CENTRAL (44),BELLEFIELD (8),
110 110 BLUE MOUNTAIN COMMUNITY CENTRE,34,52,,,,3,89,40.83%,218,MANCHESTER CENTRAL (44),BELLEFIELD (8),
111 111 BLUE MOUNTAIN COMMUNITY CENTRE,68,55,,,,6,129,48.86%,264,MANCHESTER CENTRAL (44),BELLEFIELD (8),
112 112 PORUS PRIMARY SCHOOL,20,19,,,,1,40,41.24%,97,MANCHESTER CENTRAL (44),BELLEFIELD (8),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Faith Omar Christopher,PNP Phillips Mikael Asher,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 LINCOLN HEALTH CENTRE,52,59,,,,0,111,46.64%,238,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
2 2 FAIRFIELD ALL AGE SCHOOL,62,72,,,,0,134,46.53%,288,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
3 3 PEPPER ALL AGE SCHOOOL,11,39,,,,0,50,47.62%,105,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
4 4 LINCOLN HEALTH CENTRE,47,72,,,,0,119,47.98%,248,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
5 5 HUNTLEY ALL AGE SCHOOL,14,65,,,,2,81,52.26%,155,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
6 6 LINCOLN HEALTH CENTRE,51,60,,,,3,114,44.02%,259,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
7 7A HATFIELD ALL AGE SCHOOL,28,59,,,,1,88,36.97%,238,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
7 7B HATFIELD ALL AGE SCHOOL,48,57,,,,0,105,44.12%,238,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
8 8 HATFIELD ALL AGE SCHOOL,60,130,,,,3,193,48.86%,395,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
9 9 HATFIELD ALL AGE SCHOOL,70,65,,,,1,136,37.88%,359,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
10 10A GEORGE REID COMMUNITY CENTRE,61,78,,,,0,139,54.09%,257,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
10 10B GEORGE REID COMMUNITY CENTRE,51,104,,,,1,156,60.47%,258,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
11 11 MICHAEL BARNETTS' PREMISES,55,56,,,,2,113,43.30%,261,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
12 12 HATFIELD ALL AGE SCHOOL,83,54,,,,1,138,40.83%,338,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
13 13 HATFIELD ALL AGE SCHOOL,82,113,,,,1,196,48.16%,407,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
14 14A HATFIELD ALL AGE SCHOOL,64,70,,,,2,136,49.64%,274,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
14 14B HATFIELD ALL AGE SCHOOL,45,73,,,,1,119,43.43%,274,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
15 15 HATFIELD ALL AGE SCHOOL,84,99,,,,1,184,45.66%,403,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
16 16A HATFIELD ALL AGE SCHOOL,55,42,,,,0,97,45.75%,212,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
16 16B HATFIELD ALL AGE SCHOOL,58,43,,,,0,101,47.42%,213,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
17 17 MIKE TOWN COMMUNTIY CENTRE,60,80,,,,0,140,47.78%,293,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
18 18 MIKE TOWN COMMUNITY CENTRE,64,78,,,,1,143,47.83%,299,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
19 19 GEORGE REID COMMUNITY CENTRE,41,78,,,,1,120,55.30%,217,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
20 20A MIKE TOWN COMMUNITY CENTRE,38,54,,,,1,93,42.47%,219,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
20 20B MIKE TOWN COMMUNITY CENTRE,44,64,,,,1,109,49.55%,220,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
21 21 MIKE TOWN  COMMUNITY CENTRE,83,64,,,,0,147,55.89%,263,MANCHESTER NORTH WESTERN (45),SPUR TREE (9),
